"","day","site","new_customer","platform","visits","distinct_sessions","orders","gross_sales","bounces","add_to_cart","product_page_views","search_page_views","conversion_rate","bounce_rate","add_to_cart_rate"
"71","0013-01-01","Pinnacle","0","Android",2,1,0,89,1,1,8,7,0,0.5,0.5
"73","0013-01-01","Pinnacle","0","iPhone",8,7,1,313,2,2,12,21,0.125,0.25,0.25
"74","0013-01-01","Sortly","0","Other",2,1,0,17,0,1,1,0,0,0,0.5
"75","0013-01-01","Tabular","0","iPad",169,161,169,30917,0,169,0,0,1,0,1
"76","0013-01-01","Acme","0","Other",67,46,10,1483,12,19,239,435,0.149253731343284,0.17910447761194,0.283582089552239
"77","0013-01-01","Sortly","1","iPhone",53,34,20,2127,13,25,94,107,0.377358490566038,0.245283018867925,0.471698113207547
"79","0013-01-02","Sortly","1","iPad",0,0,0,13,0,0,0,0,0,0,0
"80","0013-01-02","Sortly","0","iPad",3,1,1,130,0,2,10,15,0.333333333333333,0,0.666666666666667
"81","0013-01-02","Acme","0","iPad",2343,1641,388,60624,415,714,8029,12704,0.165599658557405,0.177123346137431,0.304737516005122
"82","0013-01-02","Pinnacle","1","Android",0,0,0,53,0,0,0,0,0,0,0
"83","0013-01-02","Pinnacle","1","iPad",2,1,1,144,0,1,5,12,0.5,0,0.5
"85","0013-01-02","Sortly","1","Macintosh",1,0,1,44,0,1,1,1,1,0,1
"86","0013-01-02","Sortly","1","Android",23,13,7,665,6,11,42,61,0.304347826086957,0.260869565217391,0.478260869565217
"87","0013-01-02","Acme","1","iPad",215,119,111,14163,37,135,821,1187,0.516279069767442,0.172093023255814,0.627906976744186
"90","0013-01-02","Botly","0","Android",23,22,23,2604,0,23,1,1,1,0,1
"92","0013-01-02","Acme","1","Macintosh",420,230,226,28526,74,263,1627,3017,0.538095238095238,0.176190476190476,0.626190476190476
"94","0013-01-02","Sortly","1","Windows",1,0,1,57,0,1,1,1,1,0,1
"96","0013-01-02","Pinnacle","1","Windows",8,4,3,964,1,5,12,14,0.375,0.125,0.625
"99","0013-01-02","Acme","0","Windows",13071,8957,1941,280774,1921,3438,40757,83392,0.148496672022034,0.146966567209854,0.263025017213679
"100","0013-01-02","Pinnacle","0","iPad",22,17,2,677,6,6,45,72,0.0909090909090909,0.272727272727273,0.272727272727273
"101","0013-01-02","Botly","1","Android",11,10,11,1048,0,11,1,1,1,0,1
"102","0013-01-02","Acme","0","Macintosh",8093,5176,1038,169350,2403,1736,23119,45104,0.128258989249969,0.296923267020882,0.214506363524033
"106","0013-01-02","Sortly","1","iPhone",63,39,22,2194,15,29,90,102,0.349206349206349,0.238095238095238,0.46031746031746
"107","0013-01-02","Sortly","0","Other",1,0,0,16378.2325581395,0,0,0,0,0,0,0
"108","0013-01-02","Tabular","1","iPad",17,16,17,2654,0,17,0,0,1,0,1
"109","0013-01-02","Widgetry","0","iPhone",117,111,117,15457,0,117,1648,1462,1,0,1
"112","0013-01-02","Acme","0","Android",249,183,21,2307,48,54,567,1220,0.0843373493975904,0.192771084337349,0.216867469879518
"114","0013-01-02","Sortly","0","Macintosh",1,1,0,54,0,1,5,3,0,0,1
"116","0013-01-02","Widgetry","1","iPhone",17,16,17,1953,0,17,177,187,1,0,1
"118","0013-01-02","Acme","0","BlackBerry",12,10,0,11,3,1,6,14,0,0.25,0.0833333333333333
"119","0013-01-02","Pinnacle","0","Android",2,1,0,16,1,0,2,4,0,0.5,0
"120","0013-01-02","Pinnacle","0","Windows",76,60,8,2466,18,19,149,291,0.105263157894737,0.236842105263158,0.25
"121","0013-01-02","Sortly","1","Other",1,0,0,16378.2325581395,0,0,0,0,0,0,0
"122","0013-01-02","Acme","1","Windows",1114,627,626,72943,170,728,4023,7350,0.561938958707361,0.152603231597846,0.653500897666068
"123","0013-01-02","Acme","1","Other",7,4,3,334,1,4,25,42,0.428571428571429,0.142857142857143,0.571428571428571
"124","0013-01-02","Sortly","0","Linux",1,0,0,11,0,0,1,1,0,0,0
"125","0013-01-02","Acme","0","iPhone",479,392,40,5058,83,88,627,973,0.0835073068893528,0.173277661795407,0.183716075156576
"127","0013-01-02","Acme","1","Android",24,15,13,1294,3,16,104,176,0.541666666666667,0.125,0.666666666666667
"129","0013-01-02","Acme","1","BlackBerry",1,0,0,16378.2325581395,0,0,0,0,0,0,0
"130","0013-01-02","Pinnacle","0","Other",0,0,0,16378.2325581395,0,0,1,0,0,0,0
"131","0013-01-02","Acme","1","Linux",5,3,3,379,1,3,14,24,0.6,0.2,0.6
"132","0013-01-02","Pinnacle","1","iPhone",1,0,1,206,0,1,1,4,1,0,1
"137","0013-01-02","Acme","0","Other",58,41,9,1101,10,17,187,385,0.155172413793103,0.172413793103448,0.293103448275862
"138","0013-01-02","Pinnacle","0","BlackBerry",0,0,0,16378.2325581395,0,0,0,0,0,0,0
"139","0013-01-02","Acme","0","Linux",64,39,8,1137,11,15,194,355,0.125,0.171875,0.234375
"140","0013-01-02","Sortly","0","iPhone",495,385,55,7294,99,122,670,866,0.111111111111111,0.2,0.246464646464646
"141","0013-01-02","Acme","0","SymbianOS",0,0,0,16378.2325581395,0,0,0,1,0,0,0
"142","0013-01-02","Pinnacle","1","Macintosh",4,3,2,490,1,3,13,18,0.5,0.25,0.75
"144","0013-01-02","Pinnacle","0","Linux",0,0,0,16378.2325581395,0,0,0,0,0,0,0
"145","0013-01-02","Pinnacle","0","iPhone",10,8,1,242,3,3,11,16,0.1,0.3,0.3
"146","0013-01-02","Acme","1","iPhone",25,21,15,1584,2,17,73,82,0.6,0.08,0.68
"153","0013-01-02","Sortly","0","Android",118,84,8,1055,29,26,182,291,0.0677966101694915,0.245762711864407,0.220338983050847
"154","0013-01-02","Sortly","0","Windows",4,3,1,152,0,2,9,16,0.25,0,0.5
"157","0013-01-02","Pinnacle","0","Macintosh",61,50,7,2224,19,14,132,229,0.114754098360656,0.311475409836066,0.229508196721311
"158","0013-01-02","Tabular","0","iPad",127,122,127,21773,0,127,0,0,1,0,1
"159","0013-01-03","Pinnacle","1","Linux",0,0,0,7,0,0,1,1,0,0,0
"160","0013-01-03","Pinnacle","0","Android",5,4,0,17293.3095238095,2,0,5,23,0,0.4,0
"163","0013-01-03","Acme","0","iPhone",564,448,47,6437,99,106,782,1271,0.0833333333333333,0.175531914893617,0.187943262411348
"164","0013-01-03","Acme","1","Linux",5,2,3,341,1,3,17,24,0.6,0.2,0.6
"165","0013-01-03","Pinnacle","0","Other",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"167","0013-01-03","Acme","1","Macintosh",423,228,225,27455,74,266,1655,2951,0.531914893617021,0.174940898345154,0.628841607565012
"169","0013-01-03","Sortly","1","Windows",1,0,0,22,0,0,1,0,0,0,0
"170","0013-01-03","Acme","1","BlackBerry",1,0,0,6,0,0,1,1,0,0,0
"171","0013-01-03","Acme","0","Android",285,210,23,2624,51,62,710,1462,0.0807017543859649,0.178947368421053,0.217543859649123
"172","0013-01-03","Sortly","1","Android",23,13,6,645,5,12,50,74,0.260869565217391,0.217391304347826,0.521739130434783
"173","0013-01-03","Pinnacle","0","Windows",153,125,13,4616,30,29,356,1065,0.0849673202614379,0.196078431372549,0.189542483660131
"174","0013-01-03","Pinnacle","1","iPhone",1,0,0,73,0,0,1,0,0,0,0
"175","0013-01-03","Pinnacle","0","BlackBerry",0,0,0,180,0,0,0,0,0,0,0
"177","0013-01-03","Acme","0","Windows",13318,9104,2031,289637,1973,3601,42023,86214,0.152500375431747,0.148145367172248,0.270385943835411
"178","0013-01-03","Widgetry","1","iPhone",17,16,17,1903,0,17,157,158,1,0,1
"180","0013-01-03","Pinnacle","1","Macintosh",6,3,2,428,1,3,14,24,0.333333333333333,0.166666666666667,0.5
"181","0013-01-03","Pinnacle","0","Linux",0,0,0,17293.3095238095,0,0,1,2,0,0,0
"182","0013-01-03","Tabular","1","iPad",15,14,15,1978,0,15,0,0,1,0,1
"184","0013-01-03","Sortly","1","iPhone",71,41,24,2733,15,33,101,102,0.338028169014085,0.211267605633803,0.464788732394366
"186","0013-01-03","Sortly","0","Android",109,79,9,1281,29,27,200,289,0.0825688073394495,0.26605504587156,0.247706422018349
"189","0013-01-03","Sortly","0","iPad",1,0,0,6,0,0,0,1,0,0,0
"192","0013-01-03","Acme","0","Macintosh",8138,5190,1073,176170,2389,1822,23871,46303,0.131850577537479,0.293561071516343,0.223887933153109
"194","0013-01-03","Sortly","0","Windows",3,2,1,89,0,1,6,7,0.333333333333333,0,0.333333333333333
"195","0013-01-03","Sortly","1","Other",1,0,0,17293.3095238095,0,0,0,0,0,0,0
"198","0013-01-03","Sortly","0","Linux",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"200","0013-01-03","Tabular","0","iPad",134,128,134,22187,0,134,0,0,1,0,1
"201","0013-01-03","Sortly","1","Macintosh",1,0,0,37,0,0,1,3,0,0,0
"202","0013-01-03","Acme","0","Other",52,36,6,789,9,14,199,359,0.115384615384615,0.173076923076923,0.269230769230769
"203","0013-01-03","Pinnacle","0","Macintosh",119,96,12,3775,25,24,300,827,0.100840336134454,0.210084033613445,0.201680672268908
"205","0013-01-03","Pinnacle","1","Windows",10,6,4,1116,3,5,24,40,0.4,0.3,0.5
"206","0013-01-03","Pinnacle","1","Android",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"209","0013-01-03","Pinnacle","0","iPad",45,37,4,1214,11,8,107,241,0.0888888888888889,0.244444444444444,0.177777777777778
"211","0013-01-03","Pinnacle","1","iPad",2,1,1,120,1,1,5,3,0.5,0.5,0.5
"215","0013-01-03","Widgetry","0","iPhone",129,124,129,18002,0,129,1743,1446,1,0,1
"216","0013-01-03","Pinnacle","1","Other",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"219","0013-01-03","Sortly","0","iPhone",501,384,60,8024,107,139,702,855,0.119760479041916,0.213572854291417,0.277445109780439
"220","0013-01-03","Acme","1","iPhone",26,19,13,1362,3,16,56,83,0.5,0.115384615384615,0.615384615384615
"221","0013-01-03","Sortly","0","Other",2,1,0,2,0,1,1,0,0,0,0.5
"222","0013-01-03","Acme","0","iPad",2415,1705,383,57890,427,717,8079,12927,0.158592132505176,0.176811594202899,0.296894409937888
"223","0013-01-03","Acme","1","Android",29,17,13,1322,4,16,95,156,0.448275862068966,0.137931034482759,0.551724137931034
"224","0013-01-03","Acme","0","Linux",62,39,8,1056,11,16,197,354,0.129032258064516,0.17741935483871,0.258064516129032
"225","0013-01-03","Acme","0","BlackBerry",13,10,1,69,3,2,11,17,0.0769230769230769,0.230769230769231,0.153846153846154
"226","0013-01-03","Sortly","1","iPad",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"229","0013-01-03","Acme","0","SymbianOS",0,0,0,17293.3095238095,0,0,0,0,0,0,0
"231","0013-01-03","Botly","0","Android",24,23,24,3107,0,24,1,1,1,0,1
"232","0013-01-03","Acme","1","Windows",1194,656,659,74118,192,765,4293,7646,0.551926298157454,0.160804020100503,0.64070351758794
"234","0013-01-03","Pinnacle","0","iPhone",31,26,1,586,10,4,36,75,0.032258064516129,0.32258064516129,0.129032258064516
"235","0013-01-03","Acme","1","iPad",205,112,106,13610,33,127,807,1060,0.517073170731707,0.160975609756098,0.619512195121951
"236","0013-01-03","Sortly","0","Macintosh",1,0,0,21,0,0,0,1,0,0,0
"239","0013-01-03","Botly","1","Android",12,11,12,925,0,12,0,0,1,0,1
"241","0013-01-03","Acme","1","Other",8,5,4,356,1,5,16,41,0.5,0.125,0.625
"242","0013-01-04","Acme","1","Windows",1129,624,626,71265,184,730,4236,7760,0.554472984942427,0.162976085031001,0.646589902568645
"243","0013-01-04","Sortly","1","Android",19,13,4,338,7,8,25,34,0.210526315789474,0.368421052631579,0.421052631578947
"244","0013-01-04","Pinnacle","0","BlackBerry",0,0,0,25,0,0,1,0,0,0,0
"245","0013-01-04","Acme","0","BlackBerry",11,8,1,52,3,2,7,12,0.0909090909090909,0.272727272727273,0.181818181818182
"246","0013-01-04","Sortly","1","Windows",1,0,0,21,0,0,1,0,0,0,0
"247","0013-01-04","Acme","1","Macintosh",385,210,206,27153,66,243,1623,2979,0.535064935064935,0.171428571428571,0.631168831168831
"248","0013-01-04","Acme","0","Windows",11654,7944,1799,257425,1752,3231,37853,75547,0.154367599107603,0.150334649047537,0.277243864767462
"249","0013-01-04","Sortly","0","iPad",1,1,0,51,0,1,5,4,0,0,1
"251","0013-01-04","Sortly","1","Macintosh",0,0,0,16,0,0,5,3,0,0,0
"253","0013-01-04","Widgetry","0","iPhone",107,103,107,14397,0,107,1233,1129,1,0,1
"254","0013-01-04","Acme","0","Android",259,190,25,3017,43,59,624,1334,0.0965250965250965,0.166023166023166,0.227799227799228
"255","0013-01-04","Sortly","0","Linux",0,0,0,15040.3953488372,0,0,0,0,0,0,0
"256","0013-01-04","Acme","0","iPhone",498,399,45,5767,91,99,669,913,0.0903614457831325,0.182730923694779,0.198795180722892
"257","0013-01-04","Pinnacle","1","Windows",10,5,4,958,2,5,21,30,0.4,0.2,0.5
"259","0013-01-04","Acme","1","Linux",7,3,3,253,1,3,30,60,0.428571428571429,0.142857142857143,0.428571428571429
"261","0013-01-04","Acme","1","iPhone",28,25,17,1854,2,19,58,64,0.607142857142857,0.0714285714285714,0.678571428571429
"262","0013-01-04","Pinnacle","0","Other",0,0,0,9,0,0,1,3,0,0,0
"263","0013-01-04","Acme","0","Other",53,38,7,663,7,14,169,367,0.132075471698113,0.132075471698113,0.264150943396226
"265","0013-01-04","Botly","1","Android",11,10,11,1034,0,11,1,1,1,0,1
"267","0013-01-04","Pinnacle","1","iPhone",1,0,0,44,0,1,2,4,0,0,1
"271","0013-01-04","Acme","0","Linux",53,34,6,833,10,12,192,339,0.113207547169811,0.188679245283019,0.226415094339623
"275","0013-01-04","Acme","0","iPad",2132,1498,340,54085,387,647,7206,11335,0.159474671669794,0.181519699812383,0.303470919324578
"276","0013-01-04","Acme","1","BlackBerry",0,0,0,5,0,0,0,0,0,0,0
"277","0013-01-04","Botly","0","Android",24,22,24,2570,0,24,3,3,1,0,1
"278","0013-01-04","Pinnacle","0","Linux",1,0,0,15040.3953488372,0,1,1,1,0,0,1
"280","0013-01-04","Sortly","0","Android",90,69,5,621,26,22,116,162,0.0555555555555556,0.288888888888889,0.244444444444444
"282","0013-01-04","Pinnacle","1","iPad",3,1,1,252,1,1,8,6,0.333333333333333,0.333333333333333,0.333333333333333
"284","0013-01-04","Pinnacle","0","Windows",74,62,7,2412,15,19,207,412,0.0945945945945946,0.202702702702703,0.256756756756757
"288","0013-01-04","Acme","1","Android",29,20,16,1564,3,19,95,188,0.551724137931034,0.103448275862069,0.655172413793103
"294","0013-01-04","Sortly","1","iPhone",53,36,17,1796,16,23,73,81,0.320754716981132,0.30188679245283,0.433962264150943
"295","0013-01-04","Pinnacle","0","iPhone",14,10,2,266,3,4,18,32,0.142857142857143,0.214285714285714,0.285714285714286
"296","0013-01-04","Tabular","1","iPad",14,13,14,1875,0,14,0,0,1,0,1
"298","0013-01-04","Pinnacle","1","Macintosh",5,3,2,471,1,3,15,19,0.4,0.2,0.6
"299","0013-01-04","Pinnacle","0","Macintosh",67,53,7,2430,17,15,162,326,0.104477611940299,0.253731343283582,0.223880597014925
"300","0013-01-04","Sortly","0","iPhone",430,337,44,5755,95,109,507,629,0.102325581395349,0.22093023255814,0.253488372093023
"302","0013-01-04","Pinnacle","0","iPad",21,17,2,611,5,5,50,82,0.0952380952380952,0.238095238095238,0.238095238095238
"303","0013-01-04","Acme","1","iPad",194,104,100,12972,32,120,792,1052,0.515463917525773,0.164948453608247,0.618556701030928
"306","0013-01-04","Acme","1","Other",7,4,3,303,1,4,17,31,0.428571428571429,0.142857142857143,0.571428571428571
"307","0013-01-04","Sortly","1","Other",18,15,8,847,3,11,33,45,0.444444444444444,0.166666666666667,0.611111111111111
"308","0013-01-04","Pinnacle","0","Android",3,2,0,15040.3953488372,1,0,4,5,0,0.333333333333333,0
"309","0013-01-04","Sortly","0","Macintosh",1,1,0,16,0,1,2,2,0,0,1
"310","0013-01-04","Acme","0","Macintosh",7091,4567,914,150226,2149,1568,20728,39785,0.128895783387392,0.303060217176703,0.221125370187562
"312","0013-01-04","Sortly","0","Windows",2,2,0,40,0,1,9,3,0,0,0.5
"314","0013-01-04","Widgetry","1","iPhone",17,16,17,1983,0,17,196,197,1,0,1
"315","0013-01-04","Sortly","0","Other",76,67,15,2038,10,34,211,301,0.197368421052632,0.131578947368421,0.447368421052632
"316","0013-01-04","Tabular","0","iPad",110,104,110,18424,0,110,2,1,1,0,1
"318","0013-01-05","Acme","0","BlackBerry",11,8,0,96,3,1,10,19,0,0.272727272727273,0.0909090909090909
"321","0013-01-05","Pinnacle","0","Linux",1,0,0,15816.1951219512,0,1,1,0,0,0,1
"323","0013-01-05","Tabular","0","iPad",157,150,157,27663,0,157,0,0,1,0,1
"324","0013-01-05","Sortly","0","Android",61,51,4,509,20,16,84,129,0.0655737704918033,0.327868852459016,0.262295081967213
"326","0013-01-05","Sortly","0","Other",131,114,28,3741,18,64,441,552,0.213740458015267,0.137404580152672,0.488549618320611
"329","0013-01-05","Pinnacle","0","iPhone",10,8,1,153,3,3,15,15,0.1,0.3,0.3
"334","0013-01-05","Pinnacle","0","Windows",53,44,5,1494,11,13,181,346,0.0943396226415094,0.207547169811321,0.245283018867925
"335","0013-01-05","Pinnacle","1","Android",0,0,0,14,0,0,1,3,0,0,0
"336","0013-01-05","Sortly","1","iPhone",46,32,16,1696,14,22,54,57,0.347826086956522,0.304347826086957,0.478260869565217
"338","0013-01-05","Acme","0","iPad",2603,1801,457,76136,461,855,9741,15476,0.17556665386093,0.177103342297349,0.328467153284672
"340","0013-01-05","Acme","1","Macintosh",430,234,234,29424,75,270,1963,3627,0.544186046511628,0.174418604651163,0.627906976744186
"341","0013-01-05","Pinnacle","1","Macintosh",3,2,2,444,0,2,9,13,0.666666666666667,0,0.666666666666667
"342","0013-01-05","Sortly","1","Windows",0,0,0,15816.1951219512,0,0,0,0,0,0,0
"343","0013-01-05","Pinnacle","1","Windows",7,4,3,896,1,5,15,25,0.428571428571429,0.142857142857143,0.714285714285714
"344","0013-01-05","Acme","1","iPad",251,138,135,17847,40,162,1121,1600,0.537848605577689,0.159362549800797,0.645418326693227
"346","0013-01-05","Acme","0","iPhone",475,391,52,6879,80,111,719,965,0.109473684210526,0.168421052631579,0.233684210526316
"347","0013-01-05","Sortly","1","Android",12,9,3,296,4,5,19,25,0.25,0.333333333333333,0.416666666666667
"350","0013-01-05","Widgetry","0","iPhone",117,112,117,16361,0,117,1586,1405,1,0,1
"351","0013-01-05","Acme","0","Macintosh",6942,4515,972,160888,2077,1667,22720,44914,0.140017286084702,0.299193316047249,0.240132526649381
"352","0013-01-05","Acme","0","Linux",43,30,5,717,8,11,163,313,0.116279069767442,0.186046511627907,0.255813953488372
"354","0013-01-05","Pinnacle","1","iPad",3,1,1,228,1,1,4,8,0.333333333333333,0.333333333333333,0.333333333333333
"356","0013-01-05","Sortly","0","Windows",1,1,0,15,0,0,2,2,0,0,0
"358","0013-01-05","Acme","0","Other",54,41,7,841,8,15,202,406,0.12962962962963,0.148148148148148,0.277777777777778
"361","0013-01-05","Pinnacle","0","iPad",30,25,4,1146,7,8,85,158,0.133333333333333,0.233333333333333,0.266666666666667
"362","0013-01-05","Pinnacle","0","Macintosh",69,54,8,2288,16,17,137,275,0.115942028985507,0.231884057971014,0.246376811594203
"363","0013-01-05","Botly","1","Android",13,12,13,1116,0,13,1,2,1,0,1
"364","0013-01-05","Botly","0","Android",26,24,26,3301,0,26,6,9,1,0,1
"365","0013-01-05","Tabular","1","iPad",21,20,21,2538,0,21,0,0,1,0,1
"366","0013-01-05","Sortly","1","iPad",0,0,0,15816.1951219512,0,0,0,0,0,0,0
"368","0013-01-05","Acme","1","Android",28,19,17,1609,3,21,114,187,0.607142857142857,0.107142857142857,0.75
"371","0013-01-05","Acme","1","iPhone",32,24,20,2141,4,22,68,80,0.625,0.125,0.6875
"372","0013-01-05","Pinnacle","0","BlackBerry",1,0,0,15816.1951219512,1,0,0,1,0,1,0
"374","0013-01-05","Widgetry","1","iPhone",17,17,17,2194,0,17,208,177,1,0,1
"375","0013-01-05","Acme","1","Windows",1009,560,565,64024,156,654,4305,8057,0.5599603567889,0.154608523290387,0.64816650148662
"377","0013-01-05","Acme","1","BlackBerry",1,0,0,16,0,0,0,0,0,0,0
"378","0013-01-05","Sortly","1","Other",31,25,14,1473,4,18,78,100,0.451612903225806,0.129032258064516,0.580645161290323
"379","0013-01-05","Sortly","0","iPad",1,0,0,15816.1951219512,0,0,4,4,0,0,0
"381","0013-01-05","Sortly","0","Macintosh",1,0,0,53,0,0,0,1,0,0,0
"382","0013-01-05","Sortly","0","BlackBerry",0,0,0,15816.1951219512,0,0,0,0,0,0,0
"383","0013-01-05","Pinnacle","1","iPhone",1,0,0,58,0,0,2,2,0,0,0
"384","0013-01-05","Sortly","0","iPhone",329,278,35,4297,80,88,396,499,0.106382978723404,0.243161094224924,0.267477203647416
"385","0013-01-05","Pinnacle","0","Android",2,2,0,19,0,0,4,9,0,0,0
"386","0013-01-05","Acme","1","Other",9,6,4,411,1,5,52,82,0.444444444444444,0.111111111111111,0.555555555555556
"388","0013-01-05","Pinnacle","1","Linux",0,0,0,41,0,0,0,1,0,0,0
"389","0013-01-05","Acme","0","Windows",8651,5892,1462,211474,1316,2634,33491,68105,0.168997803722113,0.152121142064501,0.304473471274997
"390","0013-01-05","Acme","0","Android",277,200,29,3637,49,71,728,1533,0.104693140794224,0.176895306859206,0.256317689530686
"392","0013-01-05","Pinnacle","0","Other",0,0,0,15816.1951219512,0,0,0,0,0,0,0
"393","0013-01-05","Acme","1","Linux",4,2,2,290,1,3,21,58,0.5,0.25,0.75
"395","0013-01-06","Acme","0","Android",253,186,27,3539,48,66,701,1514,0.106719367588933,0.189723320158103,0.260869565217391
"398","0013-01-06","Sortly","1","Android",15,10,3,283,6,7,18,39,0.2,0.4,0.466666666666667
"400","0013-01-06","Widgetry","1","iPhone",22,21,22,2655,0,22,321,298,1,0,1
"401","0013-01-06","Pinnacle","1","Windows",8,3,3,480,2,3,13,24,0.375,0.25,0.375
"402","0013-01-06","Acme","0","BlackBerry",10,8,0,51,2,2,6,15,0,0.2,0.2
"405","0013-01-06","Pinnacle","1","Android",0,0,0,29,0,0,0,0,0,0,0
"407","0013-01-06","Acme","1","Windows",1097,619,624,69435,177,719,4238,8325,0.568824065633546,0.161349134001823,0.65542388331814
"408","0013-01-06","Acme","1","Macintosh",491,268,266,34400,88,308,2028,3857,0.541751527494908,0.179226069246436,0.627291242362525
"410","0013-01-06","Sortly","1","Windows",0,0,0,17426,0,0,0,0,0,0,0
"411","0013-01-06","Sortly","0","BlackBerry",0,0,0,17426,0,0,0,0,0,0,0
"413","0013-01-06","Acme","1","Other",9,5,4,487,1,6,30,53,0.444444444444444,0.111111111111111,0.666666666666667
"416","0013-01-06","Acme","0","Linux",42,27,6,747,7,13,161,322,0.142857142857143,0.166666666666667,0.30952380952381
